Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\L86M33 Breakout\Project Outputs for L86M33 Breakout\Pick Place for L86M33 Breakout.csv

========================================================================================================================
File Design Information:

Date:       27/02/22
Time:       09:30
Revision:   d013057e83005ab060b01481e0acb46be24712ee
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"MH4","MH_5.5MMC_3.1MMD","TopLayer","MH_5.5MMC_3.1MMD","4314.961","2366.142","0","Hole 5.5mm Diameter 3.1mm Drill NPTH"
"MH3","MH_5.5MMC_3.1MMD","TopLayer","MH_5.5MMC_3.1MMD","2125.984","2366.142","0","Hole 5.5mm Diameter 3.1mm Drill NPTH"
"MH2","MH_5.5MMC_3.1MMD","TopLayer","MH_5.5MMC_3.1MMD","2125.984","3464.567","0","Hole 5.5mm Diameter 3.1mm Drill NPTH"
"MH1","MH_5.5MMC_3.1MMD","TopLayer","MH_5.5MMC_3.1MMD","4314.961","3464.567","0","Hole 5.5mm Diameter 3.1mm Drill NPTH"
"D1","","TopLayer","SOD-323","2251.968","3090.551","0","VR=100V IF=200mA Trr=6ns P=200mW"
"R2","RC0603FR-071KL","TopLayer","RES_0603","2399.606","3090.551","180","RES SMD 1K OHM 1% 1/10W 0603"
"SJ1","RC1206FR-070RL","TopLayer","RES_1206","2870.079","2842.520","180","RES SMD 0 OHM JUMPER 1/4W 1206"
"D4","CMD17-21VRD/TR8","TopLayer","LED_RED_0805","4213.583","2685.039","90","LED Uni-Color Red 640nm 2-Pin SMT T/R"
"U1","L86-M33","TopLayer","L86-M33","3405.118","3000.000","0","Global Navigation Satellite System Module with Patch Antenna"
"R8","RNCP0805FTD10K0","TopLayer","RES_0805","3996.063","2631.890","270","Res Thin Film 0805 10K Ohm 1% 1/4W ±100ppm/°C Molded SMD Paper T/R"
"R7","RNCP0805FTD10K0","TopLayer","RES_0805","3303.150","2507.874","270","Res Thin Film 0805 10K Ohm 1% 1/4W ±100ppm/°C Molded SMD Paper T/R"
"R6","RC0603FR-071KL","TopLayer","RES_0603","4028.543","2742.126","0","RES SMD 1K OHM 1% 1/10W 0603"
"R5","RC0603FR-071KL","TopLayer","RES_0603","3267.716","2606.299","0","RES SMD 1K OHM 1% 1/10W 0603"
"R4","RMCF0805JT3K30","TopLayer","RES_0805","4139.764","2772.638","90","Res Thick Film 0805 3.3K Ohm 5% 0.125W(1/8W) ±200ppm/C Pad SMD Automotive T/R"
"R3","RMCF0805JT3K30","TopLayer","RES_0805","3630.905","2554.134","270","Res Thick Film 0805 3.3K Ohm 5% 0.125W(1/8W) ±200ppm/C Pad SMD Automotive T/R"
"R1","RNCP0805FTD10K0","TopLayer","RES_0805","4025.590","2823.819","180","Res Thin Film 0805 10K Ohm 1% 1/4W ±100ppm/°C Molded SMD Paper T/R"
"Q2","BC846B-TP","TopLayer","SOT23-3","4107.283","2632.874","270","BC846B Series 65 V 100 mA 225 mW NPN Plastic-Encapsulate Transistor - SOT-23-3"
"Q1","BC846B-TP","TopLayer","SOT23-3","3408.465","2512.795","270","BC846B Series 65 V 100 mA 225 mW NPN Plastic-Encapsulate Transistor - SOT-23-3"
"J1","M20-9730445","TopLayer","HDR_ML_1X4","2090.551","2924.016","0","Headers & Wire Housings 04 SIL VERTICAL PIN HEADER GOLD HT"
"D3","CMD17-21VGD/TR8","TopLayer","LED_GREEN_0805","3538.386","2550.197","90","LED, Green, SMD 0805, 7.0 mcd, Green Diffused Lens"
"D2","BZX84C3V9LT1G","TopLayer","SOT23-3","2854.331","2547.244","90","Vz=3.9V 3.7V~4.1V Izt=5mA"
"C7","KR-5R5C474-R","TopLayer","KR-5R5C474-R","2480.315","2673.228","270","Cap 0.47F 5.5V -20% to 80% 1000 hr (13.5 X 6.5mm) Radial Stacked Coin 5mm 50 Ohm 70°C Bulk"
"C6","CL10A475KQ8NNNC","TopLayer","CAP_CER_0603","2849.409","2762.795","180","4.7uF ±10% 6.3V X5R 0603"
"C5","CL21B104KACNNNC","TopLayer","CAP_CER_0805","2842.520","2688.976","180","CAP CER 0.1UF 25V X7R 0805"
"C4","CL21B104KACNNNC","TopLayer","CAP_CER_0805","2236.220","3007.874","180","CAP CER 0.1UF 25V X7R 0805"
"C3","CL10A475KQ8NNNC","TopLayer","CAP_CER_0603","2236.220","2933.071","180","4.7uF ±10% 6.3V X5R 0603"
"C2","CL21B104KACNNNC","TopLayer","CAP_CER_0805","2921.260","2984.252","270","CAP CER 0.1UF 25V X7R 0805"
"C1","CL10A475KQ8NNNC","TopLayer","CAP_CER_0603","2840.551","2985.236","270","4.7uF ±10% 6.3V X5R 0603"
"A1","U.FL-R-SMT-1(10)","TopLayer","HRS_U.FL-R-SMT-1(10)","4111.713","3149.606","270","HIROSE(HRS) - U.FL-R-SMT-1(10) - RF COAXIAL, U.FL, STRAIGHT JACK, 50OHM"
