Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Satellite\Project Outputs for Sattware_v2\Pick Place for Sattware_v2.txt

========================================================================================================================
File Design Information:

Date:       29/11/21
Time:       22:46
Revision:   871b7e78bbdb1a55d8b3c7456b8d605587e59ee8
Variant:    No variations
Units used: mil

Designator Footprint                        Center-X(mil) Center-Y(mil) Ref-X(mil)   Ref-Y(mil)   Pad-X(mil)   Pad-Y(mil)   Layer       Rotation 
A1         HRS_U.FL-R-SMT-1(10)             -274.606mil   -1474.901mil  -274.606mil  -1504.921mil -274.606mil  -1444.882mil TopLayer    180      
BAT1       ML414H-IV01E                     -227.160mil   -413.059mil   -222.441mil  -467.520mil  -304.916mil  -384.516mil  TopLayer    90       
BUZ1       CEP-2242                         -1238.189mil  -494.094mil   -1238.189mil -494.094mil  -1108.285mil -569.095mil  TopLayer    330      
C1         CAP_CER_0805                     905.512mil    671.260mil    905.512mil   671.260mil   931.102mil   671.260mil   TopLayer    180      
C2         CAP_CER_0805                     905.512mil    751.968mil    905.512mil   751.968mil   931.102mil   751.968mil   TopLayer    180      
C3         CAP_CER_0805                     905.512mil    830.709mil    905.512mil   830.709mil   931.102mil   830.709mil   TopLayer    180      
C4         CAP_CER_0805                     826.772mil    925.197mil    826.772mil   925.197mil   801.181mil   925.197mil   TopLayer    0        
C5         CAP_CER_0603                     818.898mil    996.063mil    818.898mil   996.063mil   787.402mil   996.063mil   TopLayer    0        
C6         CAP_CER_0805                     1124.016mil   405.512mil    1124.016mil  405.512mil   1098.425mil  405.512mil   TopLayer    0        
C7         CAP_CER_0603                     1118.952mil   338.188mil    1118.952mil  338.188mil   1087.456mil  338.188mil   TopLayer    0        
C8         CAP_CER_0805                     729.331mil    636.811mil    729.331mil   636.811mil   703.740mil   636.811mil   TopLayer    0        
C9         CAP_ALI_10MM_RADIAL              568.898mil    1375.000mil   568.898mil   1375.000mil  470.472mil   1375.000mil  BottomLayer 270      
C10        CAP_ALI_6.30MM_RADIAL            238.189mil    627.953mil    238.189mil   627.953mil   238.279mil   578.974mil   BottomLayer 0        
C11        CAP_CER_0805                     49.213mil     610.236mil    49.213mil    610.236mil   49.213mil    635.827mil   BottomLayer 270      
C12        CAP_CER_0805                     -26.575mil    611.220mil    -26.575mil   611.221mil   -26.575mil   636.811mil   BottomLayer 270      
C13        CAP_CER_0805                     -547.244mil   798.228mil    -547.244mil  798.228mil   -547.244mil  823.819mil   BottomLayer 270      
C14        CAP_CER_0805                     -625.000mil   799.212mil    -625.000mil  799.213mil   -625.000mil  824.803mil   BottomLayer 270      
C15        CAP_FEEDTRU_0805                 -463.583mil   -1316.929mil  -463.583mil  -1316.929mil -463.091mil  -1269.685mil TopLayer    270      
C16        CAP_CER_0805                     -674.213mil   -327.756mil   -674.213mil  -327.756mil  -674.213mil  -302.165mil  TopLayer    270      
C17        CAP_CER_0805                     -596.457mil   -325.788mil   -596.457mil  -325.787mil  -596.457mil  -300.197mil  TopLayer    270      
C18        CAP_CER_0805                     -519.685mil   -325.788mil   -519.685mil  -325.787mil  -519.685mil  -300.197mil  TopLayer    270      
C19        CAP_CER_0805                     -442.913mil   -325.787mil   -442.913mil  -325.787mil  -442.913mil  -300.197mil  TopLayer    270      
C20        CAP_CER_0805                     -373.031mil   -466.535mil   -373.031mil  -466.535mil  -373.031mil  -492.126mil  TopLayer    90       
C21        CAP_CER_0603                     -990.158mil   191.929mil    -990.158mil  191.929mil   -1021.654mil 191.929mil   TopLayer    0        
C22        CAP_CER_0805                     237.677mil    -634.842mil   237.677mil   -634.842mil  237.677mil   -609.252mil  TopLayer    270      
C23        CAP_CER_0805                     159.921mil    -634.842mil   159.921mil   -634.842mil  159.921mil   -609.252mil  TopLayer    270      
C24        CAP_CER_0805                     83.150mil     -634.842mil   83.150mil    -634.842mil  83.150mil    -609.252mil  TopLayer    270      
