Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\SecurityBoard\Project Outputs for SecurityBoard\Pick Place for SecurityBoard.txt

========================================================================================================================
File Design Information:

Date:       01/03/22
Time:       19:20
Revision:   4a08f364ed24f89ab3d9f06cf2a5b38d83c25f93
Variant:    No variations
Units used: mil

Designator Comment                     Layer       Footprint        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                   
U7         "ESP32-WROOM-32E (4MB)"     TopLayer    ESP32-32E        453.150       645.669       90       ""                                                                                                                                            
C22        CL21B104KBCNNNC             TopLayer    CAP_0805         1641.732      1110.236      0        "CAP CER %10 0805"                                                                                                                            
RL1        ALQ112                      TopLayer    ALQ112           2055.118      3177.165      90       "PANASONIC - ALQ112 - POWER RELAY, SPDT, 12VDC, 10A, THD"                                                                                     
R3         RC0603FR-0710KL             TopLayer    RES_0603         2098.425      2637.795      90       "Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"                                                        
R2         AC0603FR-071KL              TopLayer    RES_0603         2045.276      2637.291      90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Epoxy Pad SMD Automotive T/R"                                                            
Q1         MMBT3904-7-F                TopLayer    MMBT3904-7-F     2188.977      2708.662      0        "Transistor General Purpose BJT NPN 40 Volt 0.2A Automotive 3-Pin SOT-23"                                                                     
D3         1N4148WS                    TopLayer    1N4148WS         1964.567      2744.095      0        "ON SEMICONDUCTOR - 1N4148WS - Small Signal Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                           
D2         1N4148WS                    TopLayer    1N4148WS         696.850       2181.102      90       "ON SEMICONDUCTOR - 1N4148WS - Small Signal Diode, Single, 75 V, 150 mA, 1 V, 4 ns"                                                           
R7         RE0603DRE07100RL            TopLayer    RES_0603         905.512       303.150       270      "Chip Resistor Precision Grade Thick Film 0603 100Ohm 0.5% Paper T/R"                                                                         
C31        C0603X104K4RACTU            TopLayer    CAP_0603         118.110       216.535       0        "CAP CER 0.1UF 16V X7R 0603"                                                                                                                  
Y2         CRYSTAL_32768KHZ            TopLayer    ABS05            1401.575      944.882       270      "ABRACON - ABS05-32.768KHZ-T - Crystal, 32.768 kHz, SMD, 1.6mm x 1mm, 12.5 pF, 20 ppm, ABS05 Series"                                          
Y1         ECS-160-20-30B-TR           TopLayer    ECS              1656.496      1637.795      45       "CRYSTAL 16.0000MHZ 20PF SMD"                                                                                                                 
USB1       10118192-0001LF             TopLayer    MICRO_B_USB      1867.126      164.370       0        "CONN USB MICRO B RECPT SMT R/A"                                                                                                              
U9         NCS36000DRG                 BottomLayer SOIC14           3295.276      996.063       180      "Low Noise Amplifiers and LDO Regulator 14-Pin SOIC N T/R"                                                                                    
U8         OPA314AIDBVR                BottomLayer SOT23-5          3303.149      291.339       90       "Op Amp OPA314AIDBVR"                                                                                                                         
U6         USBLC6-2SC6                 TopLayer    SOT23-6L         1877.953      363.189       270      "TVS DIODE 5.25V 17V SOT23-6"                                                                                                                 
U5         M41T00M6F                   TopLayer    SOIC8            1586.614      893.701       270      "IC RTC CLK/CALENDAR I2C 8-SOIC"                                                                                                              
U4         STM32F103C6T6A              TopLayer    LQFP-48          2003.937      1629.921      270      "MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"                                                                  
U3         MAX6662MSA                  TopLayer    SOIC8            2011.811      1007.874      180      "Temp Sensor Digital Serial (3-Wire, SPI) 8-Pin SOIC N Tube"                                                                                  
U2         AP7361-33E-13               TopLayer    SOT223           1696.850      2165.354      0        "LDO Regulator Pos 3.3V 1A 4-Pin(3+Tab) SOT-223 T/R"                                                                                          
U1         LM2675MX-12/NOPB            TopLayer    SOIC8            1161.417      1641.732      90       "Switching Voltage Regulators Pwr Cnvtr Hi Eff 1A SD Vtg Reg"                                                                                 
T1         BV302S12020-ZU              TopLayer    BV302S12020-ZU   1153.543      2948.819      0        "PWR XFMR LAMINATED 2VA TH"                                                                                                                   
SW1        EG1215AA                    TopLayer    EG1215AA         757.770       118.966       0        "Slide Switch, SPDT, 0.025A, 24V, SMD"                                                                                                        
S1         1601-LHI878/3902-ND         TopLayer    LHI_878/3902     3246.142      675.393       0        "Sensor Pyro Detector Dual Motion"                                                                                                            
RT1        TFPT1206L1002FM             BottomLayer TFPT1206L1002FM  3248.032      118.110       0        "Thermistor PTC 10K Ohm 1% 2-Pin 1206 Surface Mount Solder Pad T/R Automotive"                                                                
RL2        ALQ112                      TopLayer    ALQ112           2488.189      3181.102      90       "PANASONIC - ALQ112 - POWER RELAY, SPDT, 12VDC, 10A, THD"                                                                                     
R37        RE0603DRE07100RL            TopLayer    RES_0603         3231.000      419.000       180      "Chip Resistor Precision Grade Thick Film 0603 100Ohm 0.5% Paper T/R"                                                                         
R36        AC0603FR-071KL              TopLayer    RES_0603         3232.284      165.354       0        "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Epoxy Pad SMD Automotive T/R"                                                            
R35        RT0603BRD07220KL            BottomLayer RES_0603         3098.425      1133.858      90       "Thin Film Resistors - SMD 1/10W 220K ohm .1% 25ppm"                                                                                          
R34        AC0603FR-071KL              BottomLayer RES_0603         2968.504      897.638       90       "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Epoxy Pad SMD Automotive T/R"                                                            
R33        RC0603JR-070RL              BottomLayer RES_0603         3062.992      933.071       0        "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                             
R32        RC0603JR-070RL              BottomLayer RES_0603         3065.000      1046.000      0        "RES SMD 0 OHM JUMPER 1/10W 0603"                                                                                                             
R31        RT0603BRD07220KL            BottomLayer RES_0603         3129.921      314.961       90       "Thin Film Resistors - SMD 1/10W 220K ohm .1% 25ppm"                                                                                          
R30        RT0603BRD07220KL            BottomLayer RES_0603         3070.866      314.961       90       "Thin Film Resistors - SMD 1/10W 220K ohm .1% 25ppm"                                                                                          
R29        RC0603DR-0743KL             BottomLayer RES_0603         3514.307      825.441       180      "General Purpose Chip Resistor Thick Film 0603 43kOhm 0.5% Paper T/R"                                                                         
R28        AC0603FR-071KL              BottomLayer RES_0603         3196.850      311.024       270      "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Epoxy Pad SMD Automotive T/R"                                                            
R27        RC0603JR-07560KL            BottomLayer RES_0603         3515.748      1110.236      90       "RES SMD 560K OHM 5% 1/10W 0603"                                                                                                              
R26        RC0603FR-0710KL             BottomLayer RES_0603         3570.866      1110.236      270      "Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"                                                        
R25        RC0603FR-0710KL             BottomLayer RES_0603         3071.000      186.000       270      "Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"                                                        
R24        RC0603FR-0710KL             BottomLayer RES_0603         3640.000      765.000       0        "Res General Purpose Thick Film 0603 10K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R"                                                        
R23        RC0603JR-07560KL            BottomLayer RES_0603         3515.748      984.252       90       "RES SMD 560K OHM 5% 1/10W 0603"                                                                                                              
R22        RE0603DRE07100RL            TopLayer    RES_0603         698.819       1134.842      180      "Chip Resistor Precision Grade Thick Film 0603 100Ohm 0.5% Paper T/R"                                                                         
