Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DOF Robotics\Project Outputs\Pick Place for Voyager.csv

========================================================================================================================
File Design Information:

Date:       24/10/22
Time:       23:11
Revision:   83e07b184a31ef58806bc2e6875e69aaa40ceff6
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Rotation","Comment","Layer"
"C1","CAP_CER_0805","2614.173","1483.268","2614.173","1483.268","2614.173","1457.677","90","CL21B104KACNNNC","TopLayer"
"C2","CAP_CER_0805","1306.102","1481.299","1306.102","1481.299","1306.102","1506.890","270","CL21B104KACNNNC","TopLayer"
"C3","CAP_CER_0805","2531.496","1484.252","2531.496","1484.252","2531.496","1458.661","90","CL21B104KACNNNC","TopLayer"
"C4","CAP_CER_0805","1224.409","1481.299","1224.409","1481.299","1224.409","1506.890","270","CL21B104KACNNNC","TopLayer"
"C5","CAP_CER_0805","3502.953","551.181","3502.953","551.181","3528.543","551.181","180","CL21B104KACNNNC","TopLayer"
"C6","CAP_CER_0805","3758.978","667.244","3758.978","667.244","3784.569","667.244","180","CL21B104KACNNNC","TopLayer"
"C7","CAP_CER_0805","3977.362","1440.945","3977.362","1440.945","3977.362","1415.354","90","CL21B104KACNNNC","TopLayer"
"C8","CAP_ALUM_SMD_10X10X12","899.561","2778.874","899.561","2778.874","733.616","2778.874","0","MAL214699004E3","TopLayer"
"C9","CAP_CER_0603","722.441","2252.953","722.441","2252.953","690.945","2252.953","0","C0603C104K5RAC7082","BottomLayer"
"C10","CAP_CER_0603","704.843","1956.074","704.843","1956.074","673.347","1956.074","0","C0603C104K5RAC7082","BottomLayer"
"C11","CAP_CER_0603","1203.740","2245.631","1203.740","2245.631","1203.740","2277.127","270","CL10A475KQ8NNNC","BottomLayer"
"C12","CAP_CER_0603","1266.732","2024.601","1266.732","2024.601","1266.732","2056.097","270","C0603C104K5RAC7082","BottomLayer"
"C13","CAP_CER_0603","1203.740","2022.638","1203.740","2022.638","1203.740","2054.134","270","C0603C104K5RAC7082","BottomLayer"
"C14","CAP_CER_0603","1075.669","2388.551","1075.669","2388.551","1107.165","2388.551","180","C0603C104K5RAC7082","BottomLayer"
"C15","CAP_CER_0402","584.153","2069.617","584.153","2069.617","584.153","2051.901","90","C0402C221J2GACAUTO","BottomLayer"
