Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Y3         ABM7_v1_1             11.75mm       27.85mm       11.75mm       27.85mm         9.6mm       27.85mm  B        360.00 25MHz          
R106       R0402                  10.4mm         4.2mm        10.4mm         4.2mm        10.9mm         4.2mm  B        180.00 0R             
C249       C0402                    11mm        38.7mm          11mm        38.7mm        10.5mm        38.7mm  B        360.00 10n            
C248       C0402                  13.2mm        38.2mm        13.2mm        38.2mm        13.2mm        38.7mm  B        270.00 10n            
C247       C0402                    15mm        23.4mm          15mm        23.4mm        15.5mm        23.4mm  B        180.00 4u7            
C246       C0402                    15mm        22.4mm          15mm        22.4mm        15.5mm        22.4mm  B        180.00 4u7            
C245       C0402                  35.2mm        10.6mm        35.2mm        10.6mm        34.7mm        10.6mm  B        360.00 4u7            
C244       C0402                  16.3mm          10mm        16.3mm          10mm        16.3mm         9.5mm  B         90.00 4u7            
C78        C0402                  19.4mm        11.3mm        19.4mm        11.3mm        19.4mm        10.8mm  B         90.00 4u7            
R17        R0402                  18.9mm         3.8mm        18.9mm         3.8mm        18.9mm         3.3mm  T         90.00 49R9           
R52        R0402                  14.2mm          25mm        14.2mm          25mm        14.2mm        25.5mm  B        270.00 22R            
R66        R0402                  12.8mm          25mm        12.8mm          25mm        12.8mm        25.5mm  B        270.00 22R            
R1         R0402                  12.4mm        22.9mm        12.4mm        22.9mm        12.4mm        22.4mm  T         90.00 22R            
R50        R0402                  12.4mm        20.7mm        12.4mm        20.7mm        12.4mm        20.2mm  T         90.00 22R            
R72        R0402               32.7125mm       6.985mm     32.7125mm       6.985mm     32.2125mm       6.985mm  T        360.00 22R            
R90        R0402                  23.4mm         2.6mm        23.4mm         2.6mm        22.9mm         2.6mm  T        360.00 22R            
R92        R0402                  25.8mm         1.4mm        25.8mm         1.4mm        26.3mm         1.4mm  T        180.00 22R            
R73        R0402                   5.3mm        11.3mm         5.3mm        11.3mm         4.8mm        11.3mm  B        360.00 100k           
R93        R0402                     8mm         5.6mm           8mm         5.6mm         8.5mm         5.6mm  B        180.00 0R             
C242       C0402                  30.6mm        35.2mm        30.6mm        35.2mm        30.6mm        35.7mm  T        270.00 100n           
C20        C0402                  63.9mm        30.4mm        63.9mm        30.4mm        63.9mm        30.9mm  B        270.00 100n           
C19        C0603                  66.5mm        31.4mm        66.5mm        31.4mm        66.5mm       32.15mm  B        270.00 10u            
C18        C0402                  63.9mm        32.6mm        63.9mm        32.6mm        63.9mm        33.1mm  B        270.00 100n           
C10        C0402                  50.4mm        37.9mm        50.4mm        37.9mm        50.9mm        37.9mm  B        180.00 220n           
R43        R0402                  11.8mm         8.3mm        11.8mm         8.3mm        12.3mm         8.3mm  B        180.00 10k            
R42        R0402                  11.8mm         7.1mm        11.8mm         7.1mm        12.3mm         7.1mm  B        180.00 10k            
R41        R0402                  10.4mm         5.6mm        10.4mm         5.6mm         9.9mm         5.6mm  B        360.00 10k            
R40        R0402                  29.2mm        35.2mm        29.2mm        35.2mm        29.2mm        34.7mm  T         90.00 10k            
R39        R0402                  29.2mm        38.5mm        29.2mm        38.5mm        28.7mm        38.5mm  T        360.00 10k            
R38        R0402                  29.6mm        31.7mm        29.6mm        31.7mm        29.1mm        31.7mm  T        360.00 10k            
R15        R0402                  15.2mm          10mm        15.2mm          10mm        15.2mm         9.5mm  B         90.00 200R           
R3         R0402                  50.4mm           2mm        50.4mm           2mm        49.9mm           2mm  T        360.00 200R           
R2         R0402                  52.6mm          38mm        52.6mm          38mm        52.1mm          38mm  B        360.00 200R           
U12        DQC_PWSON-N10          10.9mm         6.4mm        10.9mm         6.4mm        11.9mm        7.35mm  T        270.00 TPS62175DQCT   
U8         QFN48_7MMX7MM          12.5mm          35mm        12.5mm          35mm       15.99mm       32.25mm  T        180.00 KSZ9021RN      
U7         DBV_SOT_23_5            3.3mm         6.8mm         3.3mm         6.8mm        1.95mm        5.85mm  B        360.00 SN74AHC1G09DBVR
L3         VLCF4020               12.3mm         2.5mm        12.3mm         2.5mm       10.85mm         2.5mm  T        360.00 VLCF4020T-100MR85
Y2         ABS06                  14.2mm        18.7mm        14.2mm        18.7mm      14.925mm        18.7mm  T        180.00 32.768kHz      
